rank,italian,article,plural,german,pos,example_it,example_de,also
1,zero,,,null,numeral,"Fuori ci sono zero gradi.","Draußen sind es null Grad.",
2,uno,,,eins,numeral,"Ne prendo soltanto uno.","Ich nehme nur eins.",
3,due,,,zwei,numeral,"Vorrei due caffè, per favore.","Ich hätte gern zwei Kaffee, bitte.",
4,tre,,,drei,numeral,"Restiamo tre notti.","Wir bleiben drei Nächte.",
5,quattro,,,vier,numeral,"Il tavolo è per quattro persone.","Der Tisch ist für vier Personen.",
6,cinque,,,fünf,numeral,"Ci vediamo alle cinque.","Wir sehen uns um fünf.",
7,sei,,,sechs,numeral,"Ho comprato sei uova.","Ich habe sechs Eier gekauft.",
8,sette,,,sieben,numeral,"La settimana ha sette giorni.","Die Woche hat sieben Tage.",
9,otto,,,acht,numeral,"Lavoro otto ore al giorno.","Ich arbeite acht Stunden am Tag.",
10,nove,,,neun,numeral,"Il negozio apre alle nove.","Der Laden öffnet um neun.",
11,dieci,,,zehn,numeral,"Torno tra dieci minuti.","Ich bin in zehn Minuten zurück.",
12,undici,,,elf,numeral,"Mio figlio ha undici anni.","Mein Sohn ist elf Jahre alt.",
13,dodici,,,zwölf,numeral,"La confezione contiene dodici bottiglie.","Die Packung enthält zwölf Flaschen.",
14,tredici,,,dreizehn,numeral,"Abito al numero tredici.","Ich wohne in Nummer dreizehn.",
15,quattordici,,,vierzehn,numeral,"Il corso dura quattordici giorni.","Der Kurs dauert vierzehn Tage.",
16,quindici,,,fünfzehn,numeral,"L'autobus passa ogni quindici minuti.","Der Bus fährt alle fünfzehn Minuten.",
17,sedici,,,sechzehn,numeral,"Ha compiuto sedici anni.","Sie ist sechzehn geworden.",
18,diciassette,,,siebzehn,numeral,"Siamo in diciassette al corso.","Wir sind siebzehn im Kurs.",
19,diciotto,,,achtzehn,numeral,"In Italia si vota a diciotto anni.","In Italien wählt man mit achtzehn.",
20,diciannove,,,neunzehn,numeral,"Il treno parte alle diciannove.","Der Zug fährt um neunzehn Uhr ab.",
21,venti,,,zwanzig,numeral,"Il biglietto costa venti euro.","Die Fahrkarte kostet zwanzig Euro.",
22,ventuno,,,einundzwanzig,numeral,"Oggi è il ventuno maggio.","Heute ist der einundzwanzigste Mai.",
23,ventidue,,,zweiundzwanzig,numeral,"Abbiamo ventidue studenti in classe.","Wir haben zweiundzwanzig Schüler in der Klasse.",
24,venticinque,,,fünfundzwanzig,numeral,"Il pacco pesa venticinque chili.","Das Paket wiegt fünfundzwanzig Kilo.",
25,trenta,,,dreißig,numeral,"Aprile ha trenta giorni.","April hat dreißig Tage.",
26,quaranta,,,vierzig,numeral,"La ricetta cuoce quaranta minuti.","Das Rezept braucht vierzig Minuten Garzeit.",
27,cinquanta,,,fünfzig,numeral,"Ha quasi cinquanta anni.","Er ist fast fünfzig.",
28,sessanta,,,sechzig,numeral,"Un minuto ha sessanta secondi.","Eine Minute hat sechzig Sekunden.",
29,settanta,,,siebzig,numeral,"Mia nonna ha settanta anni.","Meine Großmutter ist siebzig.",
30,ottanta,,,achtzig,numeral,"Sull'autostrada il limite è ottanta.","Auf der Autobahn liegt das Limit bei achtzig.",
31,novanta,,,neunzig,numeral,"La partita dura novanta minuti.","Das Spiel dauert neunzig Minuten.",
32,cento,,,hundert,numeral,"Il libro ha cento pagine.","Das Buch hat hundert Seiten.",
33,duecento,,,zweihundert,numeral,"Il volo costa duecento euro.","Der Flug kostet zweihundert Euro.",
34,cinquecento,,,fünfhundert,numeral,"La chiesa ha cinquecento anni.","Die Kirche ist fünfhundert Jahre alt.",
35,mille,,,tausend,numeral,"Ho fatto mille chilometri.","Ich bin tausend Kilometer gefahren.",
36,duemila,,,zweitausend,numeral,"Il paese ha duemila abitanti.","Das Dorf hat zweitausend Einwohner.",
37,diecimila,,,zehntausend,numeral,"Lo stadio ha diecimila posti.","Das Stadion hat zehntausend Plätze.",
38,milione,il,milioni,Million,noun,"Roma ha quasi tre milioni di abitanti.","Rom hat fast drei Millionen Einwohner.",
39,miliardo,il,miliardi,Milliarde,noun,"Il progetto costa un miliardo.","Das Projekt kostet eine Milliarde.",
40,primo,,,erster,numeral,"Abito al primo piano.","Ich wohne im ersten Stock.",
41,secondo,,,zweiter,numeral,"Il bagno è la seconda porta a destra.","Das Bad ist die zweite Tür rechts.",
42,terzo,,,dritter,numeral,"Siamo al terzo giorno di viaggio.","Wir sind am dritten Reisetag.",
43,quarto,,,vierter,numeral,"Il mio ufficio è al quarto piano.","Mein Büro ist im vierten Stock.",
44,quinto,,,fünfter,numeral,"È il quinto tentativo.","Es ist der fünfte Versuch.",
45,sesto,,,sechster,numeral,"Giugno è il sesto mese.","Juni ist der sechste Monat.",
46,settimo,,,siebter,numeral,"Abitano al settimo piano.","Sie wohnen im siebten Stock.",
47,ottavo,,,achter,numeral,"È l'ottavo giorno di pioggia.","Es ist der achte Regentag.",
48,nono,,,neunter,numeral,"Settembre è il nono mese.","September ist der neunte Monat.",
49,decimo,,,zehnter,numeral,"Festeggiamo il decimo anniversario.","Wir feiern den zehnten Jahrestag.",
50,ventesimo,,,zwanzigster,numeral,"Siamo nel ventesimo giorno del mese.","Wir sind am zwanzigsten Tag des Monats.",
