rank,italian,article,plural,german,pos,example_it,example_de,also
1,ristorante,il,ristoranti,Restaurant,noun,"Stasera andiamo al ristorante.","Heute Abend gehen wir ins Restaurant.",
2,trattoria,la,trattorie,Gasthaus,noun,"In questa trattoria si mangia bene.","In diesem Gasthaus isst man gut.",
3,pizzeria,la,pizzerie,Pizzeria,noun,"La pizzeria apre alle sette.","Die Pizzeria öffnet um sieben.",
4,bar,il,bar,Café,noun,"Faccio colazione al bar.","Ich frühstücke im Café.",
5,cameriere,il,camerieri,Kellner,noun,"Il cameriere porta il menù.","Der Kellner bringt die Speisekarte.",
6,menù,il,menù,Speisekarte,noun,"Posso vedere il menù?","Kann ich die Speisekarte sehen?",
7,ordinare,,,bestellen,verb,"Ordiniamo due pizze.","Wir bestellen zwei Pizzen.",
8,prenotazione,la,prenotazioni,Reservierung,noun,"Ho una prenotazione per le otto.","Ich habe eine Reservierung für acht Uhr.",
9,conto,il,conti,Rechnung,noun,"Il conto, per favore.","Die Rechnung, bitte.",
10,mancia,la,mance,Trinkgeld,noun,"In Italia la mancia non è obbligatoria.","In Italien ist Trinkgeld nicht Pflicht.",
11,coperto,il,coperti,Gedeck,noun,"Il coperto costa due euro.","Das Gedeck kostet zwei Euro.",
12,scontrino,lo,scontrini,Kassenbon,noun,"Conserva lo scontrino.","Heb den Kassenbon auf.",
13,cliente,il,clienti,Kunde,noun,"Il cliente aspetta al tavolo.","Der Kunde wartet am Tisch.",
14,cuoco,il,cuochi,Koch,noun,"Il cuoco prepara il pesce.","Der Koch bereitet den Fisch zu.",
15,pasto,il,pasti,Mahlzeit,noun,"Il pasto è compreso nel prezzo.","Die Mahlzeit ist im Preis inbegriffen.",
16,colazione,la,colazioni,Frühstück,noun,"La colazione è dalle sette alle dieci.","Frühstück gibt es von sieben bis zehn.",
17,pranzo,il,pranzi,Mittagessen,noun,"Il pranzo è alle tredici.","Das Mittagessen ist um dreizehn Uhr.",
18,cena,la,cene,Abendessen,noun,"La cena è quasi pronta.","Das Abendessen ist fast fertig.",
19,merenda,la,merende,Zwischenmahlzeit,noun,"I bambini fanno merenda alle quattro.","Die Kinder essen um vier eine Zwischenmahlzeit.",
20,spuntino,lo,spuntini,Imbiss,noun,"Facciamo uno spuntino veloce.","Machen wir einen schnellen Imbiss.",
