rank,italian,article,plural,german,pos,example_it,example_de,also
1,tempo,il,tempi,Zeit,noun,"Il tempo passa in fretta.","Die Zeit vergeht schnell.",
2,ora,la,ore,Stunde,noun,"Il film dura due ore.","Der Film dauert zwei Stunden.",
3,minuto,il,minuti,Minute,noun,"Aspetta cinque minuti.","Warte fünf Minuten.",
4,secondo,il,secondi,Sekunde,noun,"Manca solo qualche secondo.","Es fehlen nur ein paar Sekunden.",
5,orologio,lo,orologi,Uhr (Gerät),noun,"Il mio orologio va avanti.","Meine Uhr geht vor.",
6,sveglia,la,sveglie,Wecker,noun,"La sveglia suona alle sei.","Der Wecker klingelt um sechs.",
7,orario,lo,orari,Zeitplan,noun,"Controllo l'orario dei treni.","Ich schaue den Zugfahrplan nach.",
8,giorno,il,giorni,Tag,noun,"Passo il giorno in ufficio.","Ich verbringe den Tag im Büro.",
9,giornata,la,giornate,Tag (als Zeitraum),noun,"È stata una giornata lunga.","Es war ein langer Tag.",
10,settimana,la,settimane,Woche,noun,"Questa settimana lavoro da casa.","Diese Woche arbeite ich von zu Hause.",
11,mese,il,mesi,Monat,noun,"Il mese prossimo cambio casa.","Nächsten Monat ziehe ich um.",
12,anno,lo,anni,Jahr,noun,"L'anno comincia con la neve.","Das Jahr beginnt mit Schnee.",
13,data,la,date,Datum,noun,"Qual è la data di oggi?","Welches Datum haben wir heute?",
14,calendario,il,calendari,Kalender,noun,"Segno l'appuntamento sul calendario.","Ich trage den Termin in den Kalender ein.",
15,mattina,la,mattine,Morgen (Tageszeit),noun,"La mattina bevo un caffè.","Morgens trinke ich einen Kaffee.",
16,mezzogiorno,il,,Mittag,noun,"A mezzogiorno chiude tutto.","Mittags schließt alles.",
17,pomeriggio,il,pomeriggi,Nachmittag,noun,"Nel pomeriggio faccio la spesa.","Am Nachmittag kaufe ich ein.",
18,sera,la,sere,Abend,noun,"La sera guardo un film.","Abends schaue ich einen Film.",
19,serata,la,serate,Abend (als Zeitraum),noun,"È stata una bella serata.","Es war ein schöner Abend.",
20,notte,la,notti,Nacht,noun,"Di notte la città è tranquilla.","Nachts ist die Stadt ruhig.",
21,mezzanotte,la,,Mitternacht,noun,"Il treno parte a mezzanotte.","Der Zug fährt um Mitternacht.",
22,alba,la,albe,Morgengrauen,noun,"Siamo partiti all'alba.","Wir sind im Morgengrauen aufgebrochen.",
23,tramonto,il,tramonti,Sonnenuntergang,noun,"Guardiamo il tramonto dal balcone.","Wir schauen den Sonnenuntergang vom Balkon aus an.",
24,momento,il,momenti,Augenblick,noun,"Aspetta un momento.","Warte einen Augenblick.",
25,attimo,lo,attimi,Moment,noun,"Torno tra un attimo.","Ich bin gleich zurück.",
26,ritardo,il,ritardi,Verspätung,noun,"Il treno ha venti minuti di ritardo.","Der Zug hat zwanzig Minuten Verspätung.",
27,quarto d'ora,il,quarti d'ora,Viertelstunde,noun,"Arrivo tra un quarto d'ora.","Ich komme in einer Viertelstunde.",
28,mezz'ora,la,mezz'ore,halbe Stunde,noun,"La lezione dura mezz'ora.","Der Unterricht dauert eine halbe Stunde.",
29,lunedì,il,lunedì,Montag,noun,"Il lunedì il museo è chiuso.","Montags ist das Museum geschlossen.",
30,martedì,il,martedì,Dienstag,noun,"Martedì ho un appuntamento.","Am Dienstag habe ich einen Termin.",
31,mercoledì,il,mercoledì,Mittwoch,noun,"Il mercoledì c'è il mercato.","Mittwochs ist Markt.",
