rank,italian,article,plural,german,pos,example_it,example_de,also
1,e,,,und,conjunction,"Vorrei un caffè e un cornetto.","Ich möchte einen Kaffee und ein Hörnchen.",
2,di,,,von,preposition,"È il libro di Marco.","Es ist das Buch von Marco.",
3,che,,,dass,conjunction,"Penso che sia una buona idea.","Ich denke, dass es eine gute Idee ist.",
4,il,,,der (bestimmter Artikel),article,"Il treno arriva alle otto.","Der Zug kommt um acht an.",
5,la,,,die (bestimmter Artikel),article,"La casa è molto grande.","Das Haus ist sehr groß.",
6,lo,,,der (vor s+Konsonant und z),article,"Lo studente legge un libro.","Der Student liest ein Buch.",
7,un,,,ein (unbestimmter Artikel),article,"Ho un fratello e una sorella.","Ich habe einen Bruder und eine Schwester.",
8,una,,,eine (unbestimmter Artikel),article,"Prendo una birra, grazie.","Ich nehme ein Bier, danke.",
9,essere,,,sein,verb,"Sono di Berlino.","Ich bin aus Berlin.",
10,avere,,,haben,verb,"Ho due gatti.","Ich habe zwei Katzen.",
11,non,,,nicht,adverb,"Non capisco la domanda.","Ich verstehe die Frage nicht.",
12,in,,,in,preposition,"Viviamo in Italia.","Wir leben in Italien.",
13,a,,,zu; nach,preposition,"Domani andiamo a Roma.","Morgen fahren wir nach Rom.",
14,per,,,für,preposition,"Questo regalo è per te.","Dieses Geschenk ist für dich.",
15,con,,,mit,preposition,"Vengo con mia sorella.","Ich komme mit meiner Schwester.",
16,su,,,auf,preposition,"Il libro è sul tavolo.","Das Buch liegt auf dem Tisch.",
17,da,,,seit; von (Herkunft),preposition,"Abito qui da tre anni.","Ich wohne seit drei Jahren hier.",
18,come,,,wie,adverb,"Come stai oggi?","Wie geht es dir heute?",
19,ma,,,aber,conjunction,"Vorrei venire, ma non ho tempo.","Ich würde gern kommen, aber ich habe keine Zeit.",
20,se,,,wenn; ob,conjunction,"Se piove, restiamo a casa.","Wenn es regnet, bleiben wir zu Hause.",
21,anche,,,auch,adverb,"Anche noi andiamo al mare.","Wir fahren auch ans Meer.",
22,più,,,mehr,adverb,"Voglio dormire più a lungo.","Ich will länger schlafen.",
23,molto,,,sehr; viel,adverb,"Questo film è molto bello.","Dieser Film ist sehr schön.",
24,tutto,,,alles,pronoun,"Ho capito tutto.","Ich habe alles verstanden.",
25,io,,,ich,pronoun,"Io preferisco il tè.","Ich bevorzuge Tee.",
26,tu,,,du,pronoun,"Tu che cosa prendi?","Was nimmst du?",
27,lui,,,er,pronoun,"Lui lavora in banca.","Er arbeitet in einer Bank.",
28,lei,,,sie (Einzahl),pronoun,"Lei arriva domani mattina.","Sie kommt morgen früh an.",
29,noi,,,wir,pronoun,"Noi abitiamo in centro.","Wir wohnen im Zentrum.",
30,voi,,,ihr,pronoun,"Voi venite alla festa?","Kommt ihr zur Party?",
31,loro,,,sie (Mehrzahl),pronoun,"Loro parlano tre lingue.","Sie sprechen drei Sprachen.",
32,questo,,,dieser,pronoun,"Questo è mio padre.","Das ist mein Vater.",
33,quello,,,jener,pronoun,"Quello là è il mio treno.","Jener dort ist mein Zug.",
34,fare,,,machen; tun,verb,"Che cosa fai stasera?","Was machst du heute Abend?",
35,dire,,,sagen,verb,"Non dire niente a nessuno.","Sag niemandem etwas.",
36,andare,,,gehen; fahren,verb,"Vado a scuola in bici.","Ich fahre mit dem Rad zur Schule.",
37,venire,,,kommen,verb,"Vieni con noi al cinema?","Kommst du mit uns ins Kino?",
38,potere,,,können,verb,"Posso aprire la finestra?","Kann ich das Fenster öffnen?",
39,volere,,,wollen,verb,"Voglio imparare l'italiano.","Ich will Italienisch lernen.",
40,dovere,,,müssen,verb,"Devo andare a casa adesso.","Ich muss jetzt nach Hause gehen.",
41,sapere,,,wissen,verb,"Non so dove sia l'ufficio.","Ich weiß nicht, wo das Büro ist.",
42,vedere,,,sehen,verb,"Vedo il mare dalla finestra.","Ich sehe das Meer vom Fenster aus.",
43,dare,,,geben,verb,"Mi dai il tuo numero?","Gibst du mir deine Nummer?",
44,stare,,,sich befinden; bleiben,verb,"Sto bene, grazie.","Mir geht es gut, danke.",
45,parlare,,,sprechen,verb,"Parli italiano?","Sprichst du Italienisch?",
46,anno,lo,anni,Jahr,noun,"L'anno prossimo vado in Italia.","Nächstes Jahr fahre ich nach Italien.",
47,giorno,il,giorni,Tag,noun,"Ogni giorno bevo un caffè.","Jeden Tag trinke ich einen Kaffee.",
48,tempo,il,tempi,Zeit; Wetter,noun,"Non ho tempo oggi.","Ich habe heute keine Zeit.",
49,casa,la,case,Haus,noun,"La nostra casa è vicino al parco.","Unser Haus ist in der Nähe des Parks.",
50,uomo,lo,uomini,Mann,noun,"Quell'uomo è mio zio.","Jener Mann ist mein Onkel.",
51,donna,la,donne,Frau,noun,"La donna al banco è molto gentile.","Die Frau am Schalter ist sehr freundlich.",
52,cosa,la,cose,Sache,noun,"Ho molte cose da fare.","Ich habe viele Sachen zu erledigen.",
53,vita,la,vite,Leben,noun,"La vita in campagna è tranquilla.","Das Leben auf dem Land ist ruhig.",
54,mano,la,mani,Hand,noun,"Ho le mani fredde.","Ich habe kalte Hände.",
55,volta,la,volte,Mal,noun,"È la prima volta che vengo qui.","Es ist das erste Mal, dass ich herkomme.",
56,lavoro,il,lavori,Arbeit,noun,"Il lavoro comincia alle nove.","Die Arbeit beginnt um neun.",
57,acqua,la,acque,Wasser,noun,"Un bicchiere d'acqua, per favore.","Ein Glas Wasser, bitte.",
58,amico,lo,amici,Freund,noun,"Vado al cinema con un amico.","Ich gehe mit einem Freund ins Kino.",
59,città,la,città,Stadt,noun,"Firenze è una città bellissima.","Florenz ist eine wunderschöne Stadt.",
60,paese,il,paesi,Dorf; Land,noun,"Vivo in un piccolo paese di montagna.","Ich lebe in einem kleinen Bergdorf.",
61,bambino,il,bambini,Kind,noun,"Il bambino gioca in giardino.","Das Kind spielt im Garten.",
62,ora,la,ore,Stunde,noun,"Il viaggio dura due ore.","Die Reise dauert zwei Stunden.",
63,parte,la,parti,Teil,noun,"Questa parte del film mi piace.","Dieser Teil des Films gefällt mir.",
64,punto,il,punti,Punkt,noun,"Su questo punto sono d'accordo.","In diesem Punkt stimme ich zu.",
65,modo,il,modi,Art und Weise,noun,"Lo dice sempre in questo modo.","Er sagt es immer auf diese Weise.",
66,occhio,lo,occhi,Auge,noun,"Ha gli occhi verdi.","Er hat grüne Augen.",
67,padre,il,padri,Vater,noun,"Mio padre è medico.","Mein Vater ist Arzt.",
68,madre,la,madri,Mutter,noun,"Mia madre cucina benissimo.","Meine Mutter kocht sehr gut.",
69,figlio,il,figli,Sohn,noun,"Il loro figlio ha dieci anni.","Ihr Sohn ist zehn Jahre alt.",
70,figlia,la,figlie,Tochter,noun,"Mia figlia studia a Milano.","Meine Tochter studiert in Mailand.",
71,ragazzo,il,ragazzi,Junge,noun,"Quel ragazzo abita qui vicino.","Der Junge wohnt hier in der Nähe.",
72,ragazza,la,ragazze,Mädchen,noun,"Una ragazza mi ha chiesto l'ora.","Ein Mädchen hat mich nach der Uhrzeit gefragt.",
73,persona,la,persone,Person,noun,"Ci sono troppe persone qui.","Hier sind zu viele Personen.",
74,gente,la,,Leute,noun,"C'è tanta gente in piazza.","Es sind viele Leute auf dem Platz.",
75,nome,il,nomi,Name,noun,"Come si scrive il tuo nome?","Wie schreibt man deinen Namen?",
76,parola,la,parole,Wort,noun,"Non conosco questa parola.","Ich kenne dieses Wort nicht.",
77,lingua,la,lingue,Sprache,noun,"L'italiano è una bella lingua.","Italienisch ist eine schöne Sprache.",
78,libro,il,libri,Buch,noun,"Ho comprato un libro nuovo.","Ich habe ein neues Buch gekauft.",
79,scuola,la,scuole,Schule,noun,"La scuola comincia a settembre.","Die Schule beginnt im September.",
80,strada,la,strade,Straße,noun,"Attraversa la strada con attenzione.","Überquere die Straße vorsichtig.",
81,macchina,la,macchine,Auto,noun,"Vado al lavoro in macchina.","Ich fahre mit dem Auto zur Arbeit.",auto
82,treno,il,treni,Zug,noun,"Il treno per Roma parte adesso.","Der Zug nach Rom fährt jetzt ab.",
83,mare,il,mari,Meer,noun,"D'estate andiamo al mare.","Im Sommer fahren wir ans Meer.",
84,mondo,il,mondi,Welt,noun,"Vorrei vedere tutto il mondo.","Ich würde gern die ganze Welt sehen.",
85,notte,la,notti,Nacht,noun,"Ho dormito male questa notte.","Ich habe diese Nacht schlecht geschlafen.",
86,sera,la,sere,Abend,noun,"Ci vediamo domani sera.","Wir sehen uns morgen Abend.",
87,mattina,la,mattine,Morgen (Tageszeit),noun,"La mattina bevo un cappuccino.","Morgens trinke ich einen Cappuccino.",
88,settimana,la,settimane,Woche,noun,"La prossima settimana sono in ferie.","Nächste Woche bin ich im Urlaub.",
89,mese,il,mesi,Monat,noun,"Questo mese lavoro molto.","Diesen Monat arbeite ich viel.",
90,momento,il,momenti,Augenblick,noun,"Un momento, arrivo subito.","Einen Augenblick, ich komme sofort.",
91,posto,il,posti,Platz; Ort,noun,"Questo posto è libero?","Ist dieser Platz frei?",
92,soldi,i,,Geld,noun,"Non ho soldi con me.","Ich habe kein Geld dabei.",
93,problema,il,problemi,Problem,noun,"Non c'è nessun problema.","Es gibt kein Problem.",
94,domanda,la,domande,Frage,noun,"Posso farti una domanda?","Darf ich dir eine Frage stellen?",
95,storia,la,storie,Geschichte,noun,"Mi ha raccontato una storia divertente.","Er hat mir eine lustige Geschichte erzählt.",
96,esempio,lo,esempi,Beispiel,noun,"Ti faccio un esempio.","Ich gebe dir ein Beispiel.",
97,numero,il,numeri,Nummer,noun,"Ho perso il tuo numero.","Ich habe deine Nummer verloren.",
98,gruppo,il,gruppi,Gruppe,noun,"Siamo un gruppo di sei persone.","Wir sind eine Gruppe von sechs Personen.",
99,famiglia,la,famiglie,Familie,noun,"La domenica pranzo in famiglia.","Sonntags esse ich mit der Familie zu Mittag.",
100,amore,lo,amori,Liebe,noun,"Canta una canzone d'amore.","Er singt ein Liebeslied.",
101,grande,,,groß,adjective,"Roma è una città molto grande.","Rom ist eine sehr große Stadt.",
102,piccolo,,,klein,adjective,"Abito in un appartamento piccolo.","Ich wohne in einer kleinen Wohnung.",
103,nuovo,,,neu,adjective,"Ho un telefono nuovo.","Ich habe ein neues Telefon.",
104,vecchio,,,alt,adjective,"Questo palazzo è molto vecchio.","Dieses Gebäude ist sehr alt.",
105,buono,,,gut,adjective,"La pizza qui è buona.","Die Pizza hier ist gut.",
106,cattivo,,,schlecht,adjective,"Ho ricevuto una cattiva notizia.","Ich habe eine schlechte Nachricht bekommen.",
107,bello,,,schön,adjective,"Che bella giornata!","Was für ein schöner Tag!",
108,brutto,,,hässlich,adjective,"Quel palazzo è davvero brutto.","Jenes Gebäude ist wirklich hässlich.",
109,lungo,,,lang,adjective,"È stato un viaggio lungo.","Es war eine lange Reise.",
110,corto,,,kurz,adjective,"Ha i capelli corti.","Sie hat kurze Haare.",
111,alto,,,hoch; groß (Person),adjective,"Mio fratello è molto alto.","Mein Bruder ist sehr groß.",
112,basso,,,niedrig,adjective,"Il tavolo è troppo basso.","Der Tisch ist zu niedrig.",
113,giovane,,,jung,adjective,"È ancora molto giovane.","Er ist noch sehr jung.",
114,facile,,,leicht,adjective,"Questo esercizio è facile.","Diese Übung ist leicht.",
115,difficile,,,schwierig,adjective,"La grammatica è difficile.","Die Grammatik ist schwierig.",
116,primo,,,erster,adjective,"Abito al primo piano.","Ich wohne im ersten Stock.",
117,ultimo,,,letzter,adjective,"È l'ultimo treno della sera.","Es ist der letzte Zug am Abend.",
118,stesso,,,gleicher,adjective,"Abbiamo lo stesso nome.","Wir haben denselben Namen.",
119,altro,,,anderer,adjective,"Prendo un altro caffè.","Ich nehme noch einen Kaffee.",
120,vero,,,wahr,adjective,"Quello che dici è vero.","Was du sagst, ist wahr.",
121,mangiare,,,essen,verb,"Stasera mangiamo il pesce.","Heute Abend essen wir Fisch.",
122,bere,,,trinken,verb,"Bevo sempre acqua a pranzo.","Ich trinke mittags immer Wasser.",
123,dormire,,,schlafen,verb,"Dormo otto ore ogni notte.","Ich schlafe jede Nacht acht Stunden.",
124,lavorare,,,arbeiten,verb,"Lavoro in un ufficio in centro.","Ich arbeite in einem Büro im Zentrum.",
125,studiare,,,studieren; lernen,verb,"Studio italiano da un anno.","Ich lerne seit einem Jahr Italienisch.",
126,imparare,,,erlernen,verb,"Voglio imparare a cucinare.","Ich möchte kochen lernen.",
127,capire,,,verstehen,verb,"Non capisco niente.","Ich verstehe nichts.",
128,leggere,,,lesen,verb,"Leggo il giornale ogni mattina.","Ich lese jeden Morgen die Zeitung.",
129,scrivere,,,schreiben,verb,"Ti scrivo una mail domani.","Ich schreibe dir morgen eine Mail.",
130,ascoltare,,,zuhören,verb,"Ascolto la radio in macchina.","Ich höre im Auto Radio.",
131,sentire,,,hören; fühlen,verb,"Non ti sento bene.","Ich höre dich nicht gut.",
132,guardare,,,anschauen,verb,"Guardiamo un film insieme?","Schauen wir zusammen einen Film?",
133,pensare,,,denken,verb,"Penso spesso a te.","Ich denke oft an dich.",
134,credere,,,glauben,verb,"Credo che abbia ragione.","Ich glaube, er hat recht.",
135,trovare,,,finden,verb,"Non trovo le chiavi.","Ich finde die Schlüssel nicht.",
136,cercare,,,suchen,verb,"Cerco una farmacia.","Ich suche eine Apotheke.",
137,prendere,,,nehmen,verb,"Prendo l'autobus alle sette.","Ich nehme um sieben den Bus.",
138,mettere,,,legen; stellen,verb,"Metto la borsa sulla sedia.","Ich stelle die Tasche auf den Stuhl.",
139,portare,,,bringen; tragen,verb,"Porto io il vino.","Ich bringe den Wein mit.",
140,aprire,,,öffnen,verb,"Il negozio apre alle nove.","Der Laden öffnet um neun.",
141,chiudere,,,schließen,verb,"Chiudi la porta, per favore.","Mach bitte die Tür zu.",
142,comprare,,,kaufen,verb,"Ho comprato il pane.","Ich habe das Brot gekauft.",
143,pagare,,,bezahlen,verb,"Pago io stasera.","Ich zahle heute Abend.",
144,costare,,,kosten,verb,"Quanto costa questa maglietta?","Was kostet dieses T-Shirt?",
145,vivere,,,leben,verb,"Vivo in questa città da sempre.","Ich lebe schon immer in dieser Stadt.",
146,abitare,,,wohnen,verb,"Abito vicino alla stazione.","Ich wohne in der Nähe des Bahnhofs.",
147,arrivare,,,ankommen,verb,"Il volo arriva in ritardo.","Der Flug kommt verspätet an.",
148,partire,,,abfahren,verb,"Partiamo domani mattina presto.","Wir fahren morgen früh ab.",
149,tornare,,,zurückkehren,verb,"Torno a casa alle sei.","Ich komme um sechs nach Hause zurück.",
150,uscire,,,hinausgehen,verb,"Stasera esco con gli amici.","Heute Abend gehe ich mit Freunden aus.",
151,entrare,,,hineingehen,verb,"Possiamo entrare adesso?","Können wir jetzt hineingehen?",
152,aspettare,,,warten,verb,"Ti aspetto davanti al bar.","Ich warte vor der Bar auf dich.",
153,chiamare,,,rufen; anrufen,verb,"Ti chiamo più tardi.","Ich rufe dich später an.",
154,rispondere,,,antworten,verb,"Non risponde al telefono.","Er geht nicht ans Telefon.",
155,chiedere,,,fragen; bitten,verb,"Chiedo al cameriere il conto.","Ich frage den Kellner nach der Rechnung.",
156,ricordare,,,sich erinnern,verb,"Non ricordo il suo cognome.","Ich erinnere mich nicht an seinen Nachnamen.",
157,dimenticare,,,vergessen,verb,"Ho dimenticato l'ombrello.","Ich habe den Regenschirm vergessen.",
158,piacere,,,gefallen,verb,"Mi piace molto questa canzone.","Dieses Lied gefällt mir sehr.",
159,amare,,,lieben,verb,"Amo la cucina italiana.","Ich liebe die italienische Küche.",
160,giocare,,,spielen,verb,"I bambini giocano in cortile.","Die Kinder spielen im Hof.",
161,correre,,,rennen,verb,"Corro ogni mattina nel parco.","Ich laufe jeden Morgen im Park.",
162,camminare,,,zu Fuß gehen,verb,"Camminiamo per mezz'ora.","Wir gehen eine halbe Stunde zu Fuß.",
163,viaggiare,,,reisen,verb,"Viaggio spesso per lavoro.","Ich reise oft beruflich.",
164,cucinare,,,kochen,verb,"Stasera cucino io.","Heute Abend koche ich.",
165,lavare,,,waschen,verb,"Lavo i piatti dopo cena.","Ich spüle nach dem Abendessen das Geschirr.",
166,aiutare,,,helfen,verb,"Mi aiuti con la valigia?","Hilfst du mir mit dem Koffer?",
167,provare,,,versuchen; probieren,verb,"Provo a chiamarlo di nuovo.","Ich versuche, ihn noch einmal anzurufen.",
168,cominciare,,,anfangen,verb,"Il film comincia fra dieci minuti.","Der Film fängt in zehn Minuten an.",iniziare
169,finire,,,beenden,verb,"Finisco il lavoro alle cinque.","Ich beende die Arbeit um fünf.",
170,continuare,,,fortsetzen,verb,"Continuiamo domani.","Wir machen morgen weiter.",
171,restare,,,bleiben,verb,"Resto a casa tutto il giorno.","Ich bleibe den ganzen Tag zu Hause.",rimanere
172,diventare,,,werden,verb,"Vuole diventare medico.","Er will Arzt werden.",
173,sembrare,,,scheinen,verb,"Mi sembra una buona idea.","Das scheint mir eine gute Idee.",
174,succedere,,,geschehen,verb,"Che cosa è successo?","Was ist passiert?",
175,perdere,,,verlieren,verb,"Ho perso il treno.","Ich habe den Zug verpasst.",
176,vincere,,,gewinnen,verb,"La nostra squadra ha vinto.","Unsere Mannschaft hat gewonnen.",
177,vendere,,,verkaufen,verb,"Vendono frutta fresca al mercato.","Sie verkaufen frisches Obst auf dem Markt.",
178,usare,,,benutzen,verb,"Uso il computer tutti i giorni.","Ich benutze jeden Tag den Computer.",
179,conoscere,,,kennen,verb,"Conosci quel ristorante?","Kennst du jenes Restaurant?",
180,incontrare,,,treffen,verb,"Ho incontrato Anna in centro.","Ich habe Anna im Zentrum getroffen.",
181,oggi,,,heute,adverb,"Oggi resto in ufficio.","Heute bleibe ich im Büro.",
182,domani,,,morgen,adverb,"Domani è sabato.","Morgen ist Samstag.",
183,ieri,,,gestern,adverb,"Ieri sono stato al mare.","Gestern war ich am Meer.",
184,adesso,,,jetzt,adverb,"Adesso devo andare.","Jetzt muss ich gehen.",ora
185,sempre,,,immer,adverb,"Arriva sempre in ritardo.","Er kommt immer zu spät.",
186,mai,,,nie,adverb,"Non sono mai stato a Napoli.","Ich war nie in Neapel.",
